Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library,Keyword
62,mTOR signaling pathway,0.00018664631260868848,31.877005347593585,273.70537508790994,"['BRAF', 'RAF1', 'VEGFA']",0.001065690236507673,0,0,BioPlanet_2019,mTOR
66,Angiogenesis,0.00023734441315945642,105.60317460317461,881.3639106067293,"['PDGFRA', 'VEGFA']",0.0012730291251279934,0,0,BioPlanet_2019,angiogenesis
65,Signaling by PDGF,0.0002340104012489108,29.452792881858628,246.22961896507465,"['PDGFRB', 'PDGFRA', 'RAF1']",0.0012730291251279934,0,0,BioPlanet_2019,PDGF
68,PDGFB signaling pathway,0.000275787437045545,27.80672268907563,227.90056637383262,"['PDGFRB', 'BRAF', 'RAF1']",0.0014357169516782784,0,0,BioPlanet_2019,PDGF
71,p53 signaling pathway,0.0003434136113101654,25.749134948096884,205.3899054134363,"['BCL2', 'TP53', 'EGFR']",0.0017122312451239232,0,0,BioPlanet_2019,p53
74,Apoptosis intrinsic pathway,0.00040637445946356223,79.17460317460318,618.2139479571657,"['BCL2', 'TP53']",0.0019440075493256897,0,0,BioPlanet_2019,apoptosis
79,positive regulation of epithelial cell proliferation (GO:0050679),0.00023970783029859157,29.205882352941178,243.46285652146054,"['ERBB2', 'EGFR', 'VEGFA']",0.001984416721712391,0,0,GO_Biological_Process_2021,cell proliferation
82,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),0.00025876610708752327,100.79797979797979,832.5495793111635,"['TP53', 'VEGFA']",0.0020638174882346367,0,0,GO_Biological_Process_2021,RAS
81,EGFR interaction with phospholipase C-gamma,0.0006535983868982156,61.55555555555556,451.387965030658,"['ERBB2', 'EGFR']",0.0028216320605118092,0,0,BioPlanet_2019,EGFR
51,VEGF signaling pathway,0.0015708812917978867,38.83625730994152,250.73147869740146,"['RAF1', 'VEGFA']",0.0037885960566890206,0,0,KEGG_2021_Human,VEGF
57,p53 signaling pathway,0.0023926495225994084,31.156494522691705,188.04047198052453,"['BCL2', 'TP53']",0.005163085811925039,0,0,KEGG_2021_Human,p53
113,positive regulation of DNA repair (GO:0045739),0.00104246932126757,48.14975845410628,330.6040915341501,"['MGMT', 'EGFR']",0.006033406514238855,0,0,GO_Biological_Process_2021,DNA repair
102,MAPK cascade role in angiogenesis,0.0018453715711163692,35.69534050179212,224.7048323380627,"['RAF1', 'VEGFA']",0.006404524864462693,0,0,BioPlanet_2019,angiogenesis
44,Signaling By PDGF R-HSA-186797,0.0012225237433500786,44.28888888888889,297.0383992061624,"['PDGFRB', 'PDGFRA']",0.006918373002140218,0,0,Reactome_2022,PDGF
106,FSH regulation of apoptosis,0.0021716199463853387,13.384615384615385,82.078234271577,"['TUBB', 'TP53', 'VEGFA']",0.0071536453272437826,0,0,BioPlanet_2019,apoptosis
111,Interleukin-4 regulation of apoptosis,0.00226682685894304,13.179144385026738,80.2527429151964,"['TOP2A', 'KIT', 'EGFR']",0.00722933971230483,0,0,BioPlanet_2019,apoptosis
110,Mitochondrial pathway of apoptosis: multidomain Bcl-2 family,0.002265165629135075,32.06280193236715,195.26590722566357,"['BCL2', 'TP53']",0.00722933971230483,0,0,BioPlanet_2019,apoptosis
45,Intrinsic Pathway For Apoptosis R-HSA-109606,0.001366658495614331,41.77568134171908,275.5267677897696,"['BCL2', 'TP53']",0.007562177009065965,0,0,Reactome_2022,apoptosis
115,VEGF signaling pathway,0.002590114053356257,29.88888888888889,178.0198173382836,"['RAF1', 'VEGFA']",0.007973046738157522,0,0,BioPlanet_2019,VEGF
116,T cell receptor regulation of apoptosis,0.002697568798648085,8.08889816360601,47.84910343677393,"['TOP2A', 'TUBB', 'ERBB2', 'BCL2']",0.008232235816563984,0,0,BioPlanet_2019,apoptosis
47,"Cell Cycle, Mitotic R-HSA-69278",0.0016049326976989573,9.374277456647398,60.32041432112944,"['TOP2A', 'TUBB3', 'TUBB', 'TP53']",0.008502728547383837,0,0,Reactome_2022,cell cycle
129,Neurophilin interactions with VEGF and VEGF receptor,0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.013589353895129904,0,0,BioPlanet_2019,VEGF
132,Signaling by EGFR in cancer,0.005433372033180589,20.25586136595311,105.63827374651856,"['RAF1', 'EGFR']",0.014571315907166125,0,0,BioPlanet_2019,EGFR
137,regulation of cell cycle G2/M phase transition (GO:1902749),0.0032270347482887224,26.635876840696117,152.78849293856263,"['TUBB', 'TP53']",0.015404968798400177,0,0,GO_Biological_Process_2021,cell cycle
135,Signaling by EGFR,0.0059856908667451705,210.26315789473685,1076.2074808846232,['EGFR'],0.01558040122667493,0,0,BioPlanet_2019,EGFR
137,p53 activity regulation,0.00611793733360443,19.026819923371647,96.97076380041771,"['BCL2', 'TP53']",0.015808392818218747,0,0,BioPlanet_2019,p53
138,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),0.0033775636848334387,26.00653594771242,147.99280991824526,"['TP53', 'VEGFA']",0.016006714854210645,0,0,GO_Biological_Process_2021,RAS
73,mTOR signaling pathway,0.010219143029655308,14.494152046783626,66.43383792509559,"['BRAF', 'RAF1']",0.01695242881658549,0,0,KEGG_2021_Human,mTOR
51,Cell Cycle R-HSA-1640170,0.0036145589033111957,7.434615384615385,41.80324720549016,"['TOP2A', 'TUBB3', 'TUBB', 'TP53']",0.017647552292637016,0,0,Reactome_2022,cell cycle
161,positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0,GO_Biological_Process_2021,RAS
150,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0,GO_Biological_Process_2021,VEGF
