Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
27,protein phosphorylation (GO:0006468),3.240444148782587e-07,21.4624823029731,320.70067894063897,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",7.849075827051156e-06,0,0
28,regulation of phospholipase C activity (GO:1900274),3.860766238294748e-07,293.6470588235294,4336.353650553984,"['PDGFRB', 'PDGFRA', 'KIT']",9.017646856588447e-06,0,0
29,ERBB signaling pathway (GO:0038127),5.034871455275788e-07,80.31451612903226,1164.6976333838695,"['ERBB4', 'ERBB2', 'BRAF', 'EGFR']",1.1354503212932295e-05,0,0
30,cell chemotaxis (GO:0060326),6.027723462256221e-07,76.59615384615384,1096.9891469412053,"['PDGFRB', 'PDGFRA', 'KIT', 'VEGFA']",1.3073891970529384e-05,0,0
31,positive regulation of ERK1 and ERK2 cascade (GO:0070374),6.19710475667295e-07,39.54690618762475,565.284008663266,"['PDGFRB', 'PDGFRA', 'ERBB4', 'BRAF', 'EGFR']",1.3073891970529384e-05,0,0
32,positive regulation of cellular process (GO:0048522),1.530080526285726e-06,16.87005227781927,225.89320855548834,"['PDGFRB', 'PDGFRA', 'ERBB4', 'ERBB2', 'BCL2', 'EGFR', 'VEGFA']",3.1271020755964526e-05,0,0
33,cardiac muscle cell development (GO:0055013),1.7076087361357007e-06,167.72268907563026,2227.4271785014485,"['PDGFRB', 'PDGFRA', 'VEGFA']",3.2846356277433774e-05,0,0
34,positive regulation of phospholipase activity (GO:0010518),1.7076087361357007e-06,167.72268907563026,2227.4271785014485,"['PDGFRB', 'PDGFRA', 'KIT']",3.2846356277433774e-05,0,0
35,positive regulation of peptidyl-serine phosphorylation (GO:0033138),2.0047316143038843e-06,55.87359550561798,733.0615933922637,"['BRAF', 'RAF1', 'EGFR', 'VEGFA']",3.7459842164421155e-05,0,0
36,regulation of cell migration (GO:0030334),2.113221255385865e-06,20.872068230277186,272.7415169344915,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'EGFR', 'VEGFA']",3.768833405953618e-05,0,0
