Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
151,bone marrow development (GO:0048539),0.00499044069595166,262.8421052631579,1393.123889480945,['TP53'],0.02002299518498396,0,0
152,positive regulation of leukocyte mediated immunity (GO:0002705),0.00499044069595166,262.8421052631579,1393.123889480945,['KIT'],0.02002299518498396,0,0
153,immature B cell differentiation (GO:0002327),0.00499044069595166,262.8421052631579,1393.123889480945,['KIT'],0.02002299518498396,0,0
154,regulation of dendritic cell cytokine production (GO:0002730),0.00499044069595166,262.8421052631579,1393.123889480945,['KIT'],0.02002299518498396,0,0
155,positive regulation of mast cell chemotaxis (GO:0060754),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
156,cellular response to antibiotic (GO:0071236),0.00499044069595166,262.8421052631579,1393.123889480945,['TP53'],0.02002299518498396,0,0
157,cellular response to erythropoietin (GO:0036018),0.00499044069595166,262.8421052631579,1393.123889480945,['KIT'],0.02002299518498396,0,0
158,positive regulation of protein kinase C activity (GO:1900020),0.00499044069595166,262.8421052631579,1393.123889480945,['EGFR'],0.02002299518498396,0,0
159,positive regulation of smooth muscle cell differentiation (GO:0051152),0.00499044069595166,262.8421052631579,1393.123889480945,['KIT'],0.02002299518498396,0,0
160,coronary artery morphogenesis (GO:0060982),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
161,positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
162,vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
163,regulation of protein kinase C activity (GO:1900019),0.00499044069595166,262.8421052631579,1393.123889480945,['EGFR'],0.02002299518498396,0,0
164,"positive regulation of transcription, DNA-templated (GO:0045893)",0.005276392327508729,5.320316921335597,27.902469588045527,"['ERBB4', 'ERBB2', 'TP53', 'EGFR', 'VEGFA']",0.02104122306213847,0,0
165,response to endoplasmic reticulum stress (GO:0034976),0.005338663152530057,20.444444444444443,106.98128006787495,"['BCL2', 'TP53']",0.02116051940457368,0,0
166,regulation of protein-containing complex assembly (GO:0043254),0.005918504340178452,19.362573099415204,99.32363953504839,"['RAF1', 'VEGFA']",0.02275954550494966,0,0
167,regulation of thymocyte apoptotic process (GO:0070243),0.0059856908667451705,210.26315789473685,1076.2074808846232,['TP53'],0.02275954550494966,0,0
168,positive regulation of deacetylase activity (GO:0090045),0.0059856908667451705,210.26315789473685,1076.2074808846232,['VEGFA'],0.02275954550494966,0,0
169,intracellular pH elevation (GO:0051454),0.0059856908667451705,210.26315789473685,1076.2074808846232,['BCL2'],0.02275954550494966,0,0
170,megakaryocyte development (GO:0035855),0.0059856908667451705,210.26315789473685,1076.2074808846232,['KIT'],0.02275954550494966,0,0
171,regulation of mast cell chemotaxis (GO:0060753),0.0059856908667451705,210.26315789473685,1076.2074808846232,['VEGFA'],0.02275954550494966,0,0
172,venous blood vessel morphogenesis (GO:0048845),0.0059856908667451705,210.26315789473685,1076.2074808846232,['VEGFA'],0.02275954550494966,0,0
173,negative regulation of cell population proliferation (GO:0008285),0.006057236705553873,9.200876095118899,46.98428824422069,"['ERBB4', 'RAF1', 'TP53']",0.02289845552272967,0,0
174,positive regulation of protein-containing complex assembly (GO:0031334),0.00611793733360443,19.026819923371647,96.97076380041771,"['TP53', 'VEGFA']",0.02299500584009941,0,0
175,positive regulation of macromolecule metabolic process (GO:0010604),0.006280773501215925,9.077813802686428,46.02689561143453,"['BRAF', 'TP53', 'VEGFA']",0.023472147827401226,0,0
176,negative regulation of cardiocyte differentiation (GO:1905208),0.006979995894180786,175.21052631578948,869.8689177892479,['EGFR'],0.024281475078692733,0,0
177,regulation of vascular associated smooth muscle cell differentiation (GO:1905063),0.006979995894180786,175.21052631578948,869.8689177892479,['KIT'],0.024281475078692733,0,0
178,regulation of blood-brain barrier permeability (GO:1905603),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
179,smooth muscle cell migration (GO:0014909),0.006979995894180786,175.21052631578948,869.8689177892479,['PDGFRB'],0.024281475078692733,0,0
180,regulation of histone deacetylase activity (GO:1901725),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
181,surfactant homeostasis (GO:0043129),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
182,chemical homeostasis within a tissue (GO:0048875),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
183,positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),0.006979995894180786,175.21052631578948,869.8689177892479,['TP53'],0.024281475078692733,0,0
184,regulation of mesenchymal stem cell differentiation (GO:2000739),0.006979995894180786,175.21052631578948,869.8689177892479,['PDGFRA'],0.024281475078692733,0,0
185,positive regulation of trophoblast cell migration (GO:1901165),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
186,positive regulation of vascular associated smooth muscle cell differentiation (GO:1905065),0.006979995894180786,175.21052631578948,869.8689177892479,['KIT'],0.024281475078692733,0,0
187,vascular associated smooth muscle cell development (GO:0097084),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
188,vascular wound healing (GO:0061042),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0
189,cellular response to hypoxia (GO:0071456),0.00748823341082939,17.098191214470283,83.68576954910893,"['TP53', 'VEGFA']",0.025436952001570024,0,0
190,cellular response to metal ion (GO:0071248),0.00748823341082939,17.098191214470283,83.68576954910893,"['BRAF', 'EGFR']",0.025436952001570024,0,0
191,regulation of cell adhesion (GO:0030155),0.007710305981795836,16.835453774385073,81.90780602926974,"['ERBB2', 'VEGFA']",0.025436952001570024,0,0
192,ER overload response (GO:0006983),0.0079733565142536,150.17293233082708,725.5830081396662,['TP53'],0.025436952001570024,0,0
193,positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089),0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.025436952001570024,0,0
194,negative regulation of chromosome organization (GO:2001251),0.0079733565142536,150.17293233082708,725.5830081396662,['TOP2A'],0.025436952001570024,0,0
195,forebrain neuron differentiation (GO:0021879),0.0079733565142536,150.17293233082708,725.5830081396662,['ERBB4'],0.025436952001570024,0,0
196,positive regulation of dendritic cell cytokine production (GO:0002732),0.0079733565142536,150.17293233082708,725.5830081396662,['KIT'],0.025436952001570024,0,0
197,positive regulation of execution phase of apoptosis (GO:1900119),0.0079733565142536,150.17293233082708,725.5830081396662,['TP53'],0.025436952001570024,0,0
198,cell migration involved in heart development (GO:0060973),0.0079733565142536,150.17293233082708,725.5830081396662,['PDGFRB'],0.025436952001570024,0,0
199,stress-induced premature senescence (GO:0090400),0.0079733565142536,150.17293233082708,725.5830081396662,['TP53'],0.025436952001570024,0,0
200,mammary gland epithelial cell differentiation (GO:0060644),0.0079733565142536,150.17293233082708,725.5830081396662,['ERBB4'],0.025436952001570024,0,0
201,mast cell activation involved in immune response (GO:0002279),0.0079733565142536,150.17293233082708,725.5830081396662,['KIT'],0.025436952001570024,0,0
202,mast cell degranulation (GO:0043303),0.0079733565142536,150.17293233082708,725.5830081396662,['KIT'],0.025436952001570024,0,0
203,commissural neuron axon guidance (GO:0071679),0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.025436952001570024,0,0
204,coronary vasculature morphogenesis (GO:0060977),0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.025436952001570024,0,0
205,regulation of positive chemotaxis (GO:0050926),0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.025436952001570024,0,0
206,regulation of intracellular signal transduction (GO:1902531),0.00895831548879373,7.947682298725942,37.47469756892738,"['TP53', 'EGFR', 'VEGFA']",0.027146369752738868,0,0
207,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589),0.008965773496317424,131.39473684210526,619.439581424405,['VEGFA'],0.027146369752738868,0,0
208,regulation of transmembrane transporter activity (GO:0022898),0.008965773496317424,131.39473684210526,619.439581424405,['BCL2'],0.027146369752738868,0,0
209,bone cell development (GO:0098751),0.008965773496317424,131.39473684210526,619.439581424405,['KIT'],0.027146369752738868,0,0
210,regulation of helicase activity (GO:0051095),0.008965773496317424,131.39473684210526,619.439581424405,['TP53'],0.027146369752738868,0,0
211,positive regulation of protein kinase C signaling (GO:0090037),0.008965773496317424,131.39473684210526,619.439581424405,['VEGFA'],0.027146369752738868,0,0
212,mast cell mediated immunity (GO:0002448),0.008965773496317424,131.39473684210526,619.439581424405,['KIT'],0.027146369752738868,0,0
213,mitochondrial fragmentation involved in apoptotic process (GO:0043653),0.008965773496317424,131.39473684210526,619.439581424405,['ERBB4'],0.027146369752738868,0,0
214,detection of mechanical stimulus involved in sensory perception of sound (GO:0050910),0.008965773496317424,131.39473684210526,619.439581424405,['KIT'],0.027146369752738868,0,0
215,embryonic digestive tract morphogenesis (GO:0048557),0.008965773496317424,131.39473684210526,619.439581424405,['PDGFRA'],0.027146369752738868,0,0
216,endothelial cell chemotaxis (GO:0035767),0.008965773496317424,131.39473684210526,619.439581424405,['VEGFA'],0.027146369752738868,0,0
217,regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0
218,negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048),0.009957247624386196,116.78947368421052,538.3357753631753,['VEGFA'],0.02894239976154921,0,0
219,regulation of axon guidance (GO:1902667),0.009957247624386196,116.78947368421052,538.3357753631753,['VEGFA'],0.02894239976154921,0,0
220,hematopoietic stem cell differentiation (GO:0060218),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0
221,negative regulation of telomerase activity (GO:0051974),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0
222,positive regulation of T cell apoptotic process (GO:0070234),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0
223,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0
224,DNA dealkylation (GO:0035510),0.009957247624386196,116.78947368421052,538.3357753631753,['MGMT'],0.02894239976154921,0,0
225,DNA dealkylation involved in DNA repair (GO:0006307),0.009957247624386196,116.78947368421052,538.3357753631753,['MGMT'],0.02894239976154921,0,0
226,angiogenesis involved in wound healing (GO:0060055),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0
227,camera-type eye morphogenesis (GO:0048593),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0
228,induction of positive chemotaxis (GO:0050930),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0
229,positive regulation of neuroblast proliferation (GO:0002052),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0
230,regulation of mitochondrial depolarization (GO:0051900),0.010947779702855981,105.10526315789474,474.5101770765117,['BCL2'],0.03072896105436829,0,0
231,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440),0.010947779702855981,105.10526315789474,474.5101770765117,['TP53'],0.03072896105436829,0,0
232,"DNA damage response, signal transduction resulting in transcription (GO:0042772)",0.010947779702855981,105.10526315789474,474.5101770765117,['TP53'],0.03072896105436829,0,0
233,monocyte differentiation (GO:0030224),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0
234,heart development (GO:0007507),0.0115250583407572,13.592592592592593,60.6668891658796,"['ERBB4', 'VEGFA']",0.03160745074242373,0,0
235,epithelial cell-cell adhesion (GO:0090136),0.011937370540334344,95.54545454545455,423.0830518492731,['KIT'],0.03160745074242373,0,0
236,positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190),0.011937370540334344,95.54545454545455,423.0830518492731,['VEGFA'],0.03160745074242373,0,0
237,eye photoreceptor cell differentiation (GO:0001754),0.011937370540334344,95.54545454545455,423.0830518492731,['VEGFA'],0.03160745074242373,0,0
238,ganglion development (GO:0061548),0.011937370540334344,95.54545454545455,423.0830518492731,['TUBB3'],0.03160745074242373,0,0
239,replicative senescence (GO:0090399),0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03160745074242373,0,0
240,negative regulation of vascular permeability (GO:0043116),0.011937370540334344,95.54545454545455,423.0830518492731,['VEGFA'],0.03160745074242373,0,0
241,chromatin assembly or disassembly (GO:0006333),0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03160745074242373,0,0
242,megakaryocyte differentiation (GO:0030219),0.011937370540334344,95.54545454545455,423.0830518492731,['KIT'],0.03160745074242373,0,0
243,melanocyte differentiation (GO:0030318),0.011937370540334344,95.54545454545455,423.0830518492731,['KIT'],0.03160745074242373,0,0
244,positive regulation of vascular permeability (GO:0043117),0.011937370540334344,95.54545454545455,423.0830518492731,['VEGFA'],0.03160745074242373,0,0
245,digestive system development (GO:0055123),0.011937370540334344,95.54545454545455,423.0830518492731,['KIT'],0.03160745074242373,0,0
246,mitotic G1/S transition checkpoint signaling (GO:0044819),0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03160745074242373,0,0
247,mRNA transcription (GO:0009299),0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03160745074242373,0,0
248,neuron differentiation (GO:0030182),0.012900823357358857,12.795865633074936,55.66795462172957,"['ERBB2', 'VEGFA']",0.03328195946138815,0,0
249,positive regulation of calcium ion import (GO:0090280),0.01292602095289387,87.57894736842105,380.83817987374294,['PDGFRB'],0.03328195946138815,0,0
250,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.01292602095289387,87.57894736842105,380.83817987374294,['BCL2'],0.03328195946138815,0,0
251,positive regulation of histone deacetylation (GO:0031065),0.01292602095289387,87.57894736842105,380.83817987374294,['VEGFA'],0.03328195946138815,0,0
252,response to iron ion (GO:0010039),0.01292602095289387,87.57894736842105,380.83817987374294,['BCL2'],0.03328195946138815,0,0
253,cardiac cell development (GO:0055006),0.01292602095289387,87.57894736842105,380.83817987374294,['VEGFA'],0.03328195946138815,0,0
254,embryonic hemopoiesis (GO:0035162),0.01292602095289387,87.57894736842105,380.83817987374294,['KIT'],0.03328195946138815,0,0
255,positive regulation of nucleic acid-templated transcription (GO:1903508),0.013678308909025957,6.764242704955998,29.03175083925295,"['ERBB4', 'TP53', 'EGFR']",0.03420894951720413,0,0
256,negative regulation of cell activation (GO:0050866),0.013913731760820029,80.83805668016194,345.57291333057793,['PDGFRA'],0.03420894951720413,0,0
257,positive regulation of cardiac muscle cell proliferation (GO:0060045),0.013913731760820029,80.83805668016194,345.57291333057793,['ERBB4'],0.03420894951720413,0,0
258,aorta development (GO:0035904),0.013913731760820029,80.83805668016194,345.57291333057793,['PDGFRB'],0.03420894951720413,0,0
259,regulation of trophoblast cell migration (GO:1901163),0.013913731760820029,80.83805668016194,345.57291333057793,['VEGFA'],0.03420894951720413,0,0
260,branching involved in blood vessel morphogenesis (GO:0001569),0.013913731760820029,80.83805668016194,345.57291333057793,['VEGFA'],0.03420894951720413,0,0
261,response to UV-A (GO:0070141),0.013913731760820029,80.83805668016194,345.57291333057793,['EGFR'],0.03420894951720413,0,0
262,immune response-regulating cell surface receptor signaling pathway (GO:0002768),0.013913731760820029,80.83805668016194,345.57291333057793,['KIT'],0.03420894951720413,0,0
263,regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165),0.013913731760820029,80.83805668016194,345.57291333057793,['BCL2'],0.03420894951720413,0,0
264,positive regulation of transmembrane transport (GO:0034764),0.013913731760820029,80.83805668016194,345.57291333057793,['BRAF'],0.03420894951720413,0,0
265,vascular endothelial growth factor signaling pathway (GO:0038084),0.013913731760820029,80.83805668016194,345.57291333057793,['VEGFA'],0.03420894951720413,0,0
266,regulation of protein kinase C signaling (GO:0090036),0.013913731760820029,80.83805668016194,345.57291333057793,['VEGFA'],0.03420894951720413,0,0
267,eye photoreceptor cell development (GO:0042462),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
268,positive regulation of endothelial cell chemotaxis (GO:2001028),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
269,regulation of branching involved in ureteric bud morphogenesis (GO:0090189),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
270,positive regulation of protein export from nucleus (GO:0046827),0.014900503788898576,75.06015037593986,315.7300332957057,['TP53'],0.03518025082288689,0,0
271,macrophage differentiation (GO:0030225),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
272,mammary gland epithelium development (GO:0061180),0.014900503788898576,75.06015037593986,315.7300332957057,['ERBB4'],0.03518025082288689,0,0
273,positive regulation of sprouting angiogenesis (GO:1903672),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
274,detection of mechanical stimulus involved in sensory perception (GO:0050974),0.014900503788898576,75.06015037593986,315.7300332957057,['KIT'],0.03518025082288689,0,0
275,peptidyl-tyrosine autophosphorylation (GO:0038083),0.014900503788898576,75.06015037593986,315.7300332957057,['EGFR'],0.03518025082288689,0,0
276,embryonic cranial skeleton morphogenesis (GO:0048701),0.014900503788898576,75.06015037593986,315.7300332957057,['PDGFRA'],0.03518025082288689,0,0
277,photoreceptor cell development (GO:0042461),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0
278,regulation of programmed cell death (GO:0043067),0.01585641744985866,11.45138888888889,47.456627961233224,"['RAF1', 'TP53']",0.0367125970441944,0,0
279,negative regulation of anoikis (GO:2000811),0.015886337864689626,70.05263157894737,290.1787210723924,['BCL2'],0.0367125970441944,0,0
280,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),0.015886337864689626,70.05263157894737,290.1787210723924,['VEGFA'],0.0367125970441944,0,0
281,negative regulation of platelet activation (GO:0010544),0.015886337864689626,70.05263157894737,290.1787210723924,['PDGFRA'],0.0367125970441944,0,0
282,positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081),0.015886337864689626,70.05263157894737,290.1787210723924,['KIT'],0.0367125970441944,0,0
283,digestive tract morphogenesis (GO:0048546),0.015886337864689626,70.05263157894737,290.1787210723924,['PDGFRA'],0.0367125970441944,0,0
284,negative regulation of ATPase activity (GO:0032780),0.016871234817272356,65.67105263157895,268.0787715603985,['TP53'],0.037276309359784196,0,0
285,positive regulation of cardiac muscle tissue growth (GO:0055023),0.016871234817272356,65.67105263157895,268.0787715603985,['ERBB4'],0.037276309359784196,0,0
286,aorta morphogenesis (GO:0035909),0.016871234817272356,65.67105263157895,268.0787715603985,['PDGFRB'],0.037276309359784196,0,0
287,positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737),0.016871234817272356,65.67105263157895,268.0787715603985,['EGFR'],0.037276309359784196,0,0
288,positive regulation of DNA replication (GO:0045740),0.016871234817272356,65.67105263157895,268.0787715603985,['EGFR'],0.037276309359784196,0,0
289,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254),0.016871234817272356,65.67105263157895,268.0787715603985,['BCL2'],0.037276309359784196,0,0
290,regulation of establishment of endothelial barrier (GO:1903140),0.016871234817272356,65.67105263157895,268.0787715603985,['VEGFA'],0.037276309359784196,0,0
291,cellular response to gamma radiation (GO:0071480),0.016871234817272356,65.67105263157895,268.0787715603985,['TP53'],0.037276309359784196,0,0
292,positive regulation of positive chemotaxis (GO:0050927),0.016871234817272356,65.67105263157895,268.0787715603985,['VEGFA'],0.037276309359784196,0,0
293,regulation of leukocyte migration (GO:0002685),0.016871234817272356,65.67105263157895,268.0787715603985,['VEGFA'],0.037276309359784196,0,0
294,positive regulation of smooth muscle cell migration (GO:0014911),0.016871234817272356,65.67105263157895,268.0787715603985,['PDGFRB'],0.037276309359784196,0,0
295,regulation of metal ion transport (GO:0010959),0.016871234817272356,65.67105263157895,268.0787715603985,['BCL2'],0.037276309359784196,0,0
296,regulation of neuroblast proliferation (GO:1902692),0.016871234817272356,65.67105263157895,268.0787715603985,['VEGFA'],0.037276309359784196,0,0
297,regulation of angiogenesis (GO:0045765),0.017272913788451638,10.933665008291873,44.37554425782287,"['ERBB2', 'VEGFA']",0.03790766985787708,0,0
298,axon guidance (GO:0007411),0.017272913788451638,10.933665008291873,44.37554425782287,"['TUBB3', 'VEGFA']",0.03790766985787708,0,0
299,positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0
300,positive regulation of CREB transcription factor activity (GO:0032793),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0
301,regulation of transcription by RNA polymerase I (GO:0006356),0.017855195476470426,61.804953560371516,248.79341471282055,['ERBB2'],0.03816110405755444,0,0
302,negative regulation of fibroblast proliferation (GO:0048147),0.017855195476470426,61.804953560371516,248.79341471282055,['TP53'],0.03816110405755444,0,0
303,release of cytochrome c from mitochondria (GO:0001836),0.017855195476470426,61.804953560371516,248.79341471282055,['BCL2'],0.03816110405755444,0,0
304,cell migration involved in sprouting angiogenesis (GO:0002042),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0
305,positive regulation of phosphoprotein phosphatase activity (GO:0032516),0.017855195476470426,61.804953560371516,248.79341471282055,['PDGFRB'],0.03816110405755444,0,0
306,positive chemotaxis (GO:0050918),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0
307,positive regulation of focal adhesion assembly (GO:0051894),0.018838220672014273,58.36842105263158,231.83163218032678,['VEGFA'],0.039742568772572054,0,0
308,regulation of cell-cell adhesion mediated by cadherin (GO:2000047),0.018838220672014273,58.36842105263158,231.83163218032678,['VEGFA'],0.039742568772572054,0,0
309,regulation of glucose transmembrane transport (GO:0010827),0.018838220672014273,58.36842105263158,231.83163218032678,['BRAF'],0.039742568772572054,0,0
310,regulation of mitochondrial membrane permeability (GO:0046902),0.018838220672014273,58.36842105263158,231.83163218032678,['BCL2'],0.039742568772572054,0,0
311,"regulation of transcription, DNA-templated (GO:0006355)",0.01915731880971604,3.3975488318651856,13.437544997853752,"['ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR', 'VEGFA']",0.04028580868666974,0,0
312,regulation of smooth muscle cell migration (GO:0014910),0.019820311238232097,55.29362880886426,216.80897525048422,['PDGFRB'],0.040507761093136856,0,0
313,eye morphogenesis (GO:0048592),0.019820311238232097,55.29362880886426,216.80897525048422,['VEGFA'],0.040507761093136856,0,0
314,positive regulation of cyclin-dependent protein kinase activity (GO:1904031),0.019820311238232097,55.29362880886426,216.80897525048422,['EGFR'],0.040507761093136856,0,0
315,mesoderm development (GO:0007498),0.019820311238232097,55.29362880886426,216.80897525048422,['VEGFA'],0.040507761093136856,0,0
316,dopaminergic neuron differentiation (GO:0071542),0.019820311238232097,55.29362880886426,216.80897525048422,['VEGFA'],0.040507761093136856,0,0
317,embryonic digestive tract development (GO:0048566),0.019820311238232097,55.29362880886426,216.80897525048422,['PDGFRA'],0.040507761093136856,0,0
318,myeloid cell development (GO:0061515),0.019820311238232097,55.29362880886426,216.80897525048422,['KIT'],0.040507761093136856,0,0
319,endoplasmic reticulum calcium ion homeostasis (GO:0032469),0.019820311238232097,55.29362880886426,216.80897525048422,['BCL2'],0.040507761093136856,0,0
320,natural killer cell mediated immunity (GO:0002228),0.019820311238232097,55.29362880886426,216.80897525048422,['TUBB'],0.040507761093136856,0,0
321,extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192),0.020801468010995312,52.526315789473685,203.4203291515269,['BCL2'],0.04135003063583871,0,0
322,regulation of anoikis (GO:2000209),0.020801468010995312,52.526315789473685,203.4203291515269,['BCL2'],0.04135003063583871,0,0
323,regulation of cardiac muscle cell proliferation (GO:0060043),0.020801468010995312,52.526315789473685,203.4203291515269,['ERBB4'],0.04135003063583871,0,0
324,positive regulation of immune system process (GO:0002684),0.020801468010995312,52.526315789473685,203.4203291515269,['VEGFA'],0.04135003063583871,0,0
325,cellular response to estradiol stimulus (GO:0071392),0.020801468010995312,52.526315789473685,203.4203291515269,['EGFR'],0.04135003063583871,0,0
326,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771),0.020801468010995312,52.526315789473685,203.4203291515269,['TP53'],0.04135003063583871,0,0
327,positive regulation of phosphatase activity (GO:0010922),0.020801468010995312,52.526315789473685,203.4203291515269,['PDGFRB'],0.04135003063583871,0,0
328,neuron apoptotic process (GO:0051402),0.020801468010995312,52.526315789473685,203.4203291515269,['BCL2'],0.04135003063583871,0,0
329,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),0.020801468010995312,52.526315789473685,203.4203291515269,['VEGFA'],0.04135003063583871,0,0
330,positive regulation of axon extension (GO:0045773),0.02178169181492411,50.02255639097744,191.42059056605152,['VEGFA'],0.04252306402077721,0,0
331,negative regulation of phosphate metabolic process (GO:0045936),0.02178169181492411,50.02255639097744,191.42059056605152,['TP53'],0.04252306402077721,0,0
332,regulation of execution phase of apoptosis (GO:1900117),0.02178169181492411,50.02255639097744,191.42059056605152,['TP53'],0.04252306402077721,0,0
333,positive regulation of neural precursor cell proliferation (GO:2000179),0.02178169181492411,50.02255639097744,191.42059056605152,['VEGFA'],0.04252306402077721,0,0
334,regulation of platelet activation (GO:0010543),0.02178169181492411,50.02255639097744,191.42059056605152,['PDGFRA'],0.04252306402077721,0,0
335,natural killer cell mediated cytotoxicity (GO:0042267),0.02178169181492411,50.02255639097744,191.42059056605152,['TUBB'],0.04252306402077721,0,0
336,apoptotic process (GO:0006915),0.02201007045406688,9.583212032993693,36.571982585393975,"['BCL2', 'RAF1']",0.04284102999095161,0,0
337,artery development (GO:0060840),0.02276098349039011,47.74641148325359,180.61070687273846,['VEGFA'],0.04289822248621075,0,0
338,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),0.02276098349039011,47.74641148325359,180.61070687273846,['BCL2'],0.04289822248621075,0,0
339,blood vessel endothelial cell migration (GO:0043534),0.02276098349039011,47.74641148325359,180.61070687273846,['VEGFA'],0.04289822248621075,0,0
340,positive regulation of morphogenesis of an epithelium (GO:1905332),0.02276098349039011,47.74641148325359,180.61070687273846,['VEGFA'],0.04289822248621075,0,0
341,negative regulation of signal transduction in absence of ligand (GO:1901099),0.02276098349039011,47.74641148325359,180.61070687273846,['BCL2'],0.04289822248621075,0,0
342,positive regulation of protein autophosphorylation (GO:0031954),0.02276098349039011,47.74641148325359,180.61070687273846,['VEGFA'],0.04289822248621075,0,0
343,positive regulation of receptor internalization (GO:0002092),0.02276098349039011,47.74641148325359,180.61070687273846,['VEGFA'],0.04289822248621075,0,0
344,cytoskeleton-dependent intracellular transport (GO:0030705),0.02276098349039011,47.74641148325359,180.61070687273846,['TUBB'],0.04289822248621075,0,0
345,positive regulation of transcription by RNA polymerase I (GO:0045943),0.02276098349039011,47.74641148325359,180.61070687273846,['ERBB2'],0.04289822248621075,0,0
346,positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),0.02276098349039011,47.74641148325359,180.61070687273846,['TP53'],0.04289822248621075,0,0
