Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
20,Colorectal cancer,1.925365804069441e-08,81.88888888888889,1454.8023591858805,"['BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.1840999695027062e-07,0,0,KEGG_2021_Human
12,ERK1/ERK2 MAPK pathway,4.626818697131681e-09,110.66666666666667,2123.847858468808,"['PDGFRA', 'ERBB4', 'BRAF', 'RAF1', 'EGFR']",1.3649115156538459e-07,0,0,BioPlanet_2019
7,RAF/MAP Kinase Cascade R-HSA-5673001,5.1747220490163945e-09,40.21328671328671,767.2486080080157,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",1.8407225574358315e-07,0,0,Reactome_2022
6,PIP3 Activates AKT Signaling R-HSA-1257604,4.7908265257254194e-09,40.681697612732094,779.3214987115673,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR']",1.8407225574358315e-07,0,0,Reactome_2022
8,MAPK1/MAPK3 Signaling R-HSA-5684996,6.021507581958403e-09,39.30769230769231,744.0131769247231,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",1.8741942348845528e-07,0,0,Reactome_2022
10,positive regulation of phosphorylation (GO:0042327),3.2136330109800405e-09,43.19512195121951,844.7179200032352,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",2.1017159891809465e-07,0,0,GO_Biological_Process_2021
11,enzyme linked receptor protein signaling pathway (GO:0007167),3.776203244824349e-09,63.47334754797441,1231.0368073300724,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.2451244746501127e-07,0,0,GO_Biological_Process_2021
13,SHC1 events in ERBB2 signaling,9.071807458073338e-09,237.60714285714286,4400.0314810952395,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",2.470322953967663e-07,0,0,BioPlanet_2019
14,ERBB2 role in signal transduction and oncology,1.0714393083655393e-08,226.79545454545453,4162.077119974219,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",2.709210822581435e-07,0,0,BioPlanet_2019
12,positive regulation of transferase activity (GO:0051347),5.276506232906306e-09,59.87323943661972,1141.184042845609,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.875695896933937e-07,0,0,GO_Biological_Process_2021
13,positive regulation of MAP kinase activity (GO:0043406),6.279593864715395e-09,103.72916666666667,1959.0249474537666,"['PDGFRB', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",3.159118759633745e-07,0,0,GO_Biological_Process_2021
10,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,1.3110088356711028e-08,26.628415300546447,483.30264347110864,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR', 'VEGFA']",3.2644120008210456e-07,0,0,Reactome_2022
